,,STRIKE,OPEN RANGE, HIGH, LOW,CLOSING RANGE,SETT.PRICE & PT.CHGE.,DELTA,EXER CISES,RTH VOLUME,GLOBEX VOLUME,OPEN INTEREST,OPEN INTEREST CHANGE, CONTRACT  (HIGH  LOW)
DEC19,EURO DLR CALL,9725,----,----,----,0.070N,.072+ 0.2,.209,----,25,25,101254,0,.790,.070
DEC19,EURO DLR CALL,9737,----,----,----,0.055N,.057+ 0.2,.167,----,----,----,75130,0,.620B,.060A
DEC19,EURO DLR CALL,9750,----,----,----,0.042N,.045+ 0.2,.133,----,----,----,84741,0,.640B,.040A
DEC19,EURO DLR CALL,9762,----,----,----,0.035N,.035 UNCH,.105,----,----,----,43666,0,.680,.040A
DEC19,EURO DLR CALL,9775,----,----,----,0.027N,.027 UNCH,.083,----,----,----,151373,0,.600,.030A
DEC19,EURO DLR CALL,9787,----,----,----,0.022N,.022 UNCH,.068,----,----,----,52725,0,.580B,.020
DEC19,EURO DLR CALL,9800,----,----,----,0.017N,.017 UNCH,.053,----,1388,388,53231,+1000,.680B,.020
DEC19,EURO DLR CALL,9812,----,----,----,0.015N,.015 UNCH,.045,----,----,----,71373,0,.420B,.020
DEC19,EURO DLR CALL,9825,----,----,----,0.012N,.012 UNCH,.037,----,----,----,60491,0,.350B,.020
DEC19,EURO DLR CALL,9837,----,----,----,0.010N,.010 UNCH,.030,----,----,----,18241,0,.290B,.020
DEC19,EURO DLR CALL,9850,----,----,----,0.007N,.007 UNCH,.023,----,----,----,44295,0,.590,.010
DEC19,EURO DLR CALL,9862,----,----,----,0.005N,.005 UNCH,.016,----,----,----,12053,0,.190B,.010
DEC19,EURO DLR CALL,9875,----,----,----,0.002N,.002 UNCH,.008,----,----,----,85953,0,.150B,.010
DEC19,EURO DLR CALL,9887,----,----,----,0.002N,.002 UNCH,.005,----,----,----,28570,0,.180,.010
DEC19,EURO DLR CALL,9900,----,----,----,0.002N,.002 UNCH,.003,----,----,----,128527,0,.400B,.010
DEC19,EURO DLR CALL,9912,----,----,----,----,.002+ 0.2,.002,----,----,----,3975,0,.060B,.010
DEC19,EURO DLR CALL,9925,----,----,----,----,CAB ----,.001,----,----,----,21854,0,.050B,.010
DEC19,EURO DLR CALL,9937,----,----,----,----,CAB ----,.000,----,----,----,1,0,.040B,.010
DEC19,EURO DLR CALL,9950,----,----,----,----,CAB ----,.000,----,----,----,5024,0,.250B,.010
DEC19,EURO DLR CALL,9962,----,----,----,----,CAB ----,.000,----,----,----,2000,0,.010B,.010
DEC19,EURO DLR CALL,9975,----,----,----,----,CAB ----,.000,----,----,----,15,0,.200B,----
DEC19,EURO DLR CALL,9987,----,----,----,----,CAB ----,.000,----,----,----,20,0,.010B,----
DEC19,EURO DLR CALL,10000,----,----,----,----,CAB ----,.000,----,----,----,14835,0,.140B,.000
MAR20,EURO DLR CALL,9600,----,----,----,0.732N,.737+ 0.5,.882,----,----,----,12583,0,1.300B,.710A
MAR20,EURO DLR CALL,9675,----,----,----,0.232N,.240+ 0.7,.479,----,825,200,3325,+125,.470B,.230A
MAR20,EURO DLR CALL,9687,----,----,----,0.185N,.192+ 0.7,.406,----,----,----,20602,0,.520B,.180A
MAR20,EURO DLR CALL,9700,----,----,----,0.147N,.155+ 0.7,.340,----,----,----,44058,0,.510B,.150A
MAR20,EURO DLR CALL,9712,----,----,----,0.117N,.125+ 0.7,.283,----,----,----,14814,0,.440B,.120A
MAR20,EURO DLR CALL,9725,----,----,----,0.092N,.100+ 0.7,.234,----,----,----,14380,0,.730B,.100A
MAR20,EURO DLR CALL,9737,----,----,----,0.075N,.080+ 0.5,.192,----,----,----,41171,0,.640B,.080A
