,,STRIKE,OPEN RANGE, HIGH,LOW,CLOSING RANGE,SETT.PRICE & PT.CHGE.,DELTA,EXER CISES,RTH VOLUME,GLOBEX VOLUME,OPEN INTEREST,CONTRACT  (HIGH  LOW)
DEC19,EURO DLR CALL,9687,----,----,----,0.210N,.182- 2.7,.452,----,2290,265,33472 - 405,.590B,.180A
DEC19,EURO DLR CALL,9700,----,----,----,0.162N,.140- 2.2,.367,----,5500,1500,78813 - 1686,.580B,.140A
DEC19,EURO DLR CALL,9712,----,----,----,0.125N,.107- 1.7,.294,----,----,----,45707 UNCH,.430B,.100A
DEC19,EURO DLR CALL,9725,----,----,----,0.095N,.080- 1.5,.231,----,25,25,101464 - 19,.790,.080A
DEC19,EURO DLR CALL,9737,----,----,----,0.072N,.060- 1.2,.180,----,----,----,74905 UNCH,.620B,.060A
DEC19,EURO DLR CALL,9750,----,----,----,0.055N,.047- 0.7,.143,----,----,----,84616 UNCH,.640B,.050
DEC19,EURO DLR CALL,9762,----,----,----,0.042N,.037- 0.5,.114,----,----,----,41097 UNCH,.680,.040
DEC19,EURO DLR CALL,9775,----,----,----,0.035N,.030- 0.5,.091,----,660,660,151373 - 288,.600,.030A
DEC19,EURO DLR CALL,9787,----,----,----,0.027N,.022- 0.5,.070,----,----,----,52600 UNCH,.580B,.030A
DEC19,EURO DLR CALL,9800,----,----,----,0.020N,.017- 0.2,.055,----,5,5,50234 + 5,.680B,.020
DEC19,EURO DLR CALL,9812,----,----,----,0.017N,.015- 0.2,.046,----,----,----,71373 UNCH,.420B,.020
DEC19,EURO DLR CALL,9825,----,----,----,0.015N,.012- 0.2,.038,----,----,----,60491 UNCH,.350B,.020
DEC19,EURO DLR CALL,9837,----,----,----,0.012N,.010- 0.2,.030,----,----,----,18241 UNCH,.290B,.020
DEC19,EURO DLR CALL,9850,----,----,----,0.010N,.007- 0.2,.023,----,----,----,46545 UNCH,.590,.010
DEC19,EURO DLR CALL,9862,----,----,----,0.007N,.005- 0.2,.016,----,----,----,14803 UNCH,.190B,.010
DEC19,EURO DLR CALL,9875,----,----,----,0.005N,.002- 0.2,.009,----,----,----,89439 UNCH,.150B,.010
DEC19,EURO DLR CALL,9887,----,----,----,0.002N,.002 UNCH,.006,----,----,----,28570 UNCH,.180,.010
DEC19,EURO DLR CALL,9900,----,----,----,0.002N,.002 UNCH,.003,----,----,----,128527 UNCH,.400B,.010
